rest_id,rest_name,locality,cuisines,cost_for_two,ratings,votes
17114977,Cluxton Alley Coffee Roasters,Northside,['Coffee and Tea'],Inexpensive,3.4,12
17115626,Java Johnny's Midtowne Cafe,Middletown,"['Coffee and Tea', 'Desserts', 'Sandwich']",Inexpensive,3.5,12
17115765,Brick Street,Oxford,['American'],Inexpensive,2.7,12
17116679,Hayloft Tavern,Cold Spring/Alexandria,['Bar Food'],Moderately_priced,3.6,12
17117049,Lucky Duck Pub,Burlington,"['Burger', 'Bar Food', 'Sandwich']",Inexpensive,3.5,10
17117901,Empanadas Aquí,Downtown,['Latin American'],Inexpensive,3.3,8
17112566,Cicis Pizza,Florence,['Pizza'],Inexpensive,3.4,13
17117844,Reef Top Bar,Anderson Township,"['Seafood', 'Bar Food']",Moderately_priced,3.2,8
17113671,Louisiana Fish Bar,Price Hill/Fairmount,['Seafood'],Inexpensive,3.6,11
17117286,Lucy Blue,Over-the-Rhine/Mount Auburn,['Pizza'],Inexpensive,3.3,7
17115935,Smoothie King,Anderson Township,['Beverages'],Inexpensive,3.4,12
17116334,Auntie Anne's,Deer Park/Madeira,['Desserts'],Inexpensive,3.3,13
17117695,Pink in a Blanket Doughnuts,Florence,['Coffee and Tea'],Inexpensive,3.1,6
17112750,Diner on Elm,Downtown,"['Diner', 'Mediterranean', 'Moroccan']",Inexpensive,3.4,12
17114036,Olde Village Tavern,West Chester,['American'],Inexpensive,3.4,9
17839688,Grove Park Grille,East End/Mount Washington,"['American', 'Tapas']",Pricey,2.8,10
17116398,Main Event,Downtown,"['Pizza', 'Bar Food', 'Sandwich']",Inexpensive,3.3,8
17112640,Country Cousin's Bakery,Cold Spring/Alexandria,[],Inexpensive,4.0,11
17756556,Maranata Store,Cheviot/Westwood,"['Mexican', 'Latin American', 'Ecuadorian']",Inexpensive,3.1,6
17117088,Wiseguy Lounge,Covington,"['Italian', 'Pizza']",Inexpensive,3.6,11
